step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.530812740325928,0.4900003671646118,0.48413321375846863,0.0,0.0,0.0,6.492280960083008,6.540916919708252,0.7706317901611328,0.00048326104297302663,6.531296253204346,nan,0.04832610487937927,0.00023675007105339319,0.04741714894771576,0.0494241937994957,0.0,0.0,0.0,0.0,0.0,1.0,0.19355612993240356,1.0,1.0,0.0,2.8019273941026768e-06,0.0,0.0,2.8019275077895145e-07,0.05000000074505806
1,1,0.0002999999704898838,6.4503350257873535,0.5427215695381165,0.5326993465423584,0.0,0.0,0.0,6.412252902984619,6.466987609863281,0.7616468071937561,0.0004818850720766932,6.450817584991455,nan,0.04818850755691528,0.0002248734381282702,0.04718451946973801,0.04898747429251671,0.0,0.0,0.0,0.0,0.0,1.0,0.19314593076705933,1.0,1.0,0.0,3.281507588326349e-06,0.0,0.0,3.2815077588566055e-07,0.05000000074505806
2,1,0.00029999993360224126,6.538053512573242,0.5545204281806946,0.5547091364860535,0.0,0.0,0.0,6.499579429626465,6.5354509353637695,0.7694863080978394,0.0004802925686817616,6.538534164428711,nan,0.04802925884723663,0.0002236266154795885,0.04714662581682205,0.049097996205091476,0.0,0.0,0.0,0.0,0.0,1.0,0.1926705539226532,1.0,1.0,0.0,3.883823410433251e-06,0.0,0.0,3.8838234672766703e-07,0.05000000074505806
3,1,0.0002999998819595469,6.395719528198242,0.6014214754104614,0.5918205976486206,0.0,0.0,0.0,6.358199119567871,6.403057098388672,0.7504092454910278,0.0004790796956513077,6.3961992263793945,nan,0.04790797084569931,0.00020847978885285556,0.04705232009291649,0.048934005200862885,0.0,0.0,0.0,0.0,0.0,1.0,0.1923082321882248,1.0,1.0,0.0,4.376589004095877e-06,0.0,0.0,4.3765891177827143e-07,0.05000000074505806
4,1,0.00029999981556180566,6.326413631439209,0.6426412463188171,0.6294770240783691,0.0,0.0,0.0,6.288698673248291,6.432309627532959,0.754294753074646,0.0004776892310474068,6.326891899108887,nan,0.04776892438530922,0.00019588376744650304,0.04691353067755699,0.048671163618564606,0.0,0.0,0.0,0.0,0.0,1.0,0.19189241528511047,1.0,1.0,0.0,4.977701792086009e-06,0.0,0.0,4.977702019459684e-07,0.05000000074505806
5,1,0.00029999973440902417,6.374555587768555,0.6544018983840942,0.6472119092941284,0.0,0.0,0.0,6.336610794067383,6.4504852294921875,0.7588990926742554,0.0004764640179928392,6.375032424926758,nan,0.047646403312683105,0.00019391464593354613,0.04679805785417557,0.04837877303361893,0.0,0.0,0.0,0.0,0.0,1.0,0.1915256232023239,1.0,1.0,0.0,5.539420726563549e-06,0.0,0.0,5.539420726563549e-07,0.05000000074505806
6,1,0.00029999963850121047,6.337470054626465,0.680640697479248,0.6719553470611572,0.0,0.0,0.0,6.300022602081299,6.423598289489746,0.7489463090896606,0.0004750369116663933,6.337945461273193,nan,0.04750369116663933,0.00019218742090743035,0.04667151719331741,0.04833735525608063,0.0,0.0,0.0,0.0,0.0,1.0,0.1910979449748993,1.0,1.0,0.0,6.231561656022677e-06,0.0,0.0,6.23156154233584e-07,0.05000000074505806
7,1,0.000299999527838374,6.3106560707092285,0.7041662931442261,0.694905161857605,0.0,0.0,0.0,6.273001670837402,6.468400001525879,0.7530852556228638,0.0004736645787488669,6.311130046844482,nan,0.04736645892262459,0.00017579118139110506,0.04660414904356003,0.04807808995246887,0.0,0.0,0.0,0.0,0.0,1.0,0.19068634510040283,1.0,1.0,0.0,6.935542387509486e-06,0.0,0.0,6.935542273822648e-07,0.05000000074505806
8,1,0.0002999994024205256,6.256453514099121,0.7263769507408142,0.7123030424118042,0.0,0.0,0.0,6.219203948974609,6.387712478637695,0.7449954748153687,0.0004725065373349935,6.256927013397217,nan,0.0472506545484066,0.00017644836043473333,0.04646316170692444,0.0479513555765152,0.0,0.0,0.0,0.0,0.0,1.0,0.1903386265039444,1.0,1.0,0.0,7.55890459913644e-06,0.0,0.0,7.558904826510116e-07,0.05000000074505806
9,1,0.00029999926224767785,6.2199530601501465,0.7477004528045654,0.7312673926353455,0.0,0.0,0.0,6.1825127601623535,6.450160503387451,0.7488099932670593,0.00047137774527072906,6.220425605773926,nan,0.047137774527072906,0.00016695282829459757,0.04642042517662048,0.047773491591215134,0.0,0.0,0.0,0.0,0.0,1.0,0.18999944627285004,1.0,1.0,0.0,8.192339009838179e-06,0.0,0.0,8.192338896151341e-07,0.05000000074505806
