step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,5.832387924194336,0.3382958173751831,0.31198206543922424,0.3994019031524658,0.4695311188697815,0.0,nan,nan,nan,0.003994023893028498,5.836381912231445,nan
1,1,0.0002999999704898838,5.618332862854004,0.38442838191986084,0.34448567032814026,0.44704076647758484,0.5,0.0,nan,nan,nan,0.004470430314540863,5.622803211212158,nan
2,1,0.00029999993360224126,5.449962615966797,0.42073655128479004,0.36783450841903687,0.4885115325450897,0.5,0.0,nan,nan,nan,0.004916059318929911,5.454878807067871,nan
3,1,0.0002999998819595469,5.418954849243164,0.44648993015289307,0.39022940397262573,0.4998217523097992,0.5,0.0,nan,nan,nan,0.005370511673390865,5.424325466156006,nan
4,1,0.00029999981556180566,5.0893964767456055,0.5031369924545288,0.4049808382987976,0.5,0.5,0.0,nan,nan,nan,0.00573976943269372,5.0951361656188965,nan
5,1,0.00029999973440902417,5.138051509857178,0.5173735618591309,0.4140896797180176,0.5,0.5,0.0,nan,nan,nan,0.006058103870600462,5.144109725952148,nan
6,1,0.00029999963850121047,4.920276641845703,0.5618047714233398,0.4220103323459625,0.5,0.5,0.0,nan,nan,nan,0.006326489150524139,4.926603317260742,nan
7,1,0.000299999527838374,4.8293657302856445,0.5870065093040466,0.4208729863166809,0.5,0.5,0.0,nan,nan,nan,0.006528033409267664,4.835893630981445,nan
8,1,0.0002999994024205256,4.761936187744141,0.6078823804855347,0.4238331615924835,0.5,0.5,0.0,nan,nan,nan,0.0067154113203287125,4.768651485443115,nan
9,1,0.00029999926224767785,4.575545310974121,0.6386926174163818,0.4203185737133026,0.5,0.5,0.0,nan,nan,nan,0.006879895925521851,4.582425117492676,nan
10,1,0.0002999991073198443,4.569106101989746,0.6553492546081543,0.40995827317237854,0.5,0.5,0.0,nan,nan,nan,0.007010376080870628,4.576116561889648,nan
11,1,0.0002999989376370405,4.555019378662109,0.6602864265441895,0.4087224304676056,0.5,0.5,0.0,nan,nan,nan,0.007130696438252926,4.562150001525879,nan
12,1,0.00029999875319928305,4.583157539367676,0.666204035282135,0.40703120827674866,0.5,0.5,0.0,nan,nan,nan,0.007218938786536455,4.590376377105713,nan
13,1,0.0002999985540065902,4.5525407791137695,0.6725261807441711,0.40621691942214966,0.5,0.5,0.0,nan,nan,nan,0.00731506384909153,4.559855937957764,nan
14,1,0.0002999983400589816,4.4890594482421875,0.689696729183197,0.40226665139198303,0.5,0.5,0.0,nan,nan,nan,0.007384821772575378,4.496444225311279,nan
15,1,0.0002999981113564784,4.398097038269043,0.7059990167617798,0.40161147713661194,0.5,0.5,0.0,nan,nan,nan,0.007460506167262793,4.405557632446289,nan
16,1,0.0002999978678991031,4.389795780181885,0.7154955863952637,0.40513139963150024,0.5,0.5,0.0,nan,nan,nan,0.007516974117606878,4.397312641143799,nan
17,1,0.0002999976096868798,4.406040191650391,0.7160539031028748,0.409018337726593,0.5,0.5,0.0,nan,nan,nan,0.007580171804875135,4.413620471954346,nan
18,1,0.00029999733671983396,4.317032814025879,0.7310037612915039,0.4117532968521118,0.5,0.5,0.0,nan,nan,nan,0.0076378085650503635,4.324670791625977,nan
19,1,0.0002999970489979925,4.359744548797607,0.7220561504364014,0.4146215319633484,0.5,0.5,0.0,nan,nan,nan,0.00766847375780344,4.36741304397583,nan
20,1,0.00029999674652138385,4.293135166168213,0.7358542680740356,0.40798133611679077,0.5,0.5,0.0,nan,nan,nan,0.007690919563174248,4.300826072692871,nan
21,1,0.00029999642929003784,4.136693954467773,0.7503288984298706,0.4053291380405426,0.5,0.5,0.0,nan,nan,nan,0.007725397124886513,4.144419193267822,nan
22,1,0.0002999960973039858,4.129353046417236,0.754450798034668,0.40419068932533264,0.5,0.5,0.0,nan,nan,nan,0.007744000758975744,4.137096881866455,nan
23,1,0.00029999575056326047,4.033872127532959,0.7630785703659058,0.3937312960624695,0.5,0.5,0.0,nan,nan,nan,0.007770288269966841,4.041642189025879,nan
24,1,0.00029999538906789607,4.138425827026367,0.7505670785903931,0.3845086395740509,0.5,0.5,0.0,nan,nan,nan,0.007786317728459835,4.146212100982666,nan
25,1,0.0002999950128179283,3.9314422607421875,0.7701264023780823,0.3738305866718292,0.5,0.5,0.0,nan,nan,nan,0.007800437044352293,3.9392426013946533,nan
26,1,0.0002999946218133943,3.8930611610412598,0.7708697319030762,0.3595532178878784,0.5,0.5,0.0,nan,nan,nan,0.007800034247338772,3.9008612632751465,nan
27,1,0.0002999942160543326,4.077617645263672,0.7433702945709229,0.34530019760131836,0.5,0.5,0.0,nan,nan,nan,0.007809387985616922,4.0854268074035645,nan
28,1,0.00029999379554078334,3.9209024906158447,0.7601110935211182,0.3253431022167206,0.5,0.5,0.0,nan,nan,nan,0.0078129256144166,3.928715467453003,nan
29,1,0.000299993360272788,3.8294034004211426,0.7682681679725647,0.3086708188056946,0.5,0.5,0.0,nan,nan,nan,0.007814870215952396,3.8372182846069336,nan
30,1,0.00029999291025038945,3.6846609115600586,0.7794077396392822,0.29021745920181274,0.5,0.5,0.0,nan,nan,nan,0.0078073665499687195,3.6924681663513184,nan
31,1,0.00029999244547363217,3.718168258666992,0.7712669372558594,0.27204057574272156,0.5,0.5,0.0,nan,nan,nan,0.007809582632035017,3.725977897644043,nan
32,1,0.0002999919659425621,3.7240304946899414,0.7672541737556458,0.25456151366233826,0.5,0.5,0.0,nan,nan,nan,0.0077980137430131435,3.731828451156616,nan
33,1,0.00029999147165722645,3.7405319213867188,0.7594900131225586,0.23934058845043182,0.5,0.5,0.0,nan,nan,nan,0.007799243088811636,3.748331069946289,nan
34,1,0.0002999909626176741,3.6624417304992676,0.7643073797225952,0.22755257785320282,0.5,0.5,0.0,nan,nan,nan,0.007784045767039061,3.6702258586883545,nan
35,1,0.0002999904388239552,3.562610149383545,0.7752655744552612,0.21540296077728271,0.5,0.5,0.0,nan,nan,nan,0.00777412811294198,3.5703842639923096,nan
36,1,0.0002999899002761215,3.628624439239502,0.7603667378425598,0.20857879519462585,0.5,0.5,0.0,nan,nan,nan,0.007760968524962664,3.636385440826416,nan
37,1,0.0002999893469742262,3.7037384510040283,0.7522011995315552,0.2007836550474167,0.5,0.5,0.0,nan,nan,nan,0.007756315171718597,3.7114946842193604,nan
38,1,0.00029998877891832383,3.6474862098693848,0.7566699981689453,0.18839600682258606,0.5,0.5,0.0,nan,nan,nan,0.00774494931101799,3.655231237411499,nan
39,1,0.0002999881961084705,3.612612247467041,0.7596168518066406,0.18107692897319794,0.5,0.5,0.0,nan,nan,nan,0.0077339839190244675,3.6203463077545166,nan
40,1,0.00029998759854472364,3.6391525268554688,0.7485465407371521,0.177216038107872,0.5,0.5,0.0,nan,nan,nan,0.00772119639441371,3.646873712539673,nan
41,1,0.00029998698622714235,3.5477852821350098,0.7602726817131042,0.16610875725746155,0.5,0.5,0.0,nan,nan,nan,0.0077309259213507175,3.555516242980957,nan
42,1,0.000299986359155787,3.4652276039123535,0.7708261013031006,0.16206365823745728,0.5,0.5,0.0,nan,nan,nan,0.007708401419222355,3.472935914993286,nan
43,1,0.00029998571733071946,3.4715518951416016,0.7631930112838745,0.16092288494110107,0.5,0.5,0.0,nan,nan,nan,0.007696108426898718,3.479248046875,nan
44,1,0.00029998506075200315,3.6219229698181152,0.7490785121917725,0.15422259271144867,0.5,0.5,0.0,nan,nan,nan,0.007669238373637199,3.629592180252075,nan
45,1,0.0002999843894197028,3.4373836517333984,0.7677011489868164,0.1532796025276184,0.5,0.5,0.0,nan,nan,nan,0.007675071246922016,3.445058822631836,nan
