cell_id,head,loss,scorer,lambda_edge,lambda_edge_align,dataset,seed,params_total,macro_auroc_linear,macro_auroc_knn,mAP,alignment,uniformity,effective_rank,runtime_sec,status
smoke_broken,mlp,infonce,none,0.0,0.0,chestmnist,42,,,,,,,,6.49,"FAILED: RuntimeError: Command failed (exit 1): C:\Users\Administrator\AppData\Local\Programs\Python\Python310\python.exe -m scripts.train --config-name=smoke_mlp run.seed=42 run.name=smoke_broken_s42 train.max_steps=NOT_AN_INT | --- stdout --- |  | --- stderr --- | Error executing job with overrides: ['run.seed=42', 'run.name=smoke_broken_s42', 'train.max_steps=NOT_AN_INT'] |  | Traceback (most recent call last): |   File ""A:\UNI\CSE400\KAN_FPCL\scripts\train.py"", line 48, in main |     if step >= cfg.train"
smoke_ok,mlp,infonce,none,0.0,0.0,chestmnist,42,11499584,0.655465,0.59197,0.09352,0.441167,-0.771694,65.643616,113.4,OK
